"spell_duration","cens","case.ID","race","sex","highest_educ","age_at_start"
21,0,3438,1,2,0,1993
6,1,3440,3,1,0,1991
2,1,3440,3,1,0,1991
8,1,3441,3,1,0,1991
15,1,3441,3,1,0,1991
7,1,3441,3,1,0,1992
1,1,3441,3,1,0,1992
43,1,3442,3,2,1,1989
56,1,3442,3,2,1,1990
83,1,3442,3,2,1,1992
1,0,3442,3,2,1,1993
55,1,3446,3,2,0,1989
2,1,3446,3,2,0,1992
5,0,3446,3,2,0,1993
61,1,3452,3,2,0,1990
2,1,3452,3,2,0,1991
86,0,3452,3,2,0,1992
160,1,3454,3,2,0,1990
34,0,3454,3,2,0,1993
1,0,3455,3,1,0,1993
3,1,3456,3,2,0,1991
107,0,3456,3,2,0,1991
7,1,3458,3,2,1,1989
20,1,3458,3,2,1,1990
3,1,3458,3,2,1,1992
7,1,3458,3,2,1,1992
4,0,3459,3,2,1,1993
9,1,3462,3,1,1,1989
5,1,3463,3,1,1,1989
16,1,3464,3,1,1,1991
82,1,3465,3,2,0,1991
14,1,3465,3,2,0,1993
10,1,3466,3,1,1,1993
23,1,3467,3,2,0,1990
88,0,3467,3,2,0,1992
1,1,3468,3,1,1,1993
4,1,3469,3,2,1,1989
8,1,3469,3,2,1,1991
22,0,3469,3,2,1,1993
4,1,3470,3,1,0,1989
3,1,3471,3,1,0,1989
22,1,3471,3,1,0,1990
2,1,3473,3,1,0,1992
7,1,3475,3,2,0,1991
1,1,3475,3,2,0,1993
9,0,3475,3,2,0,1993
25,1,3476,3,2,1,1990
39,1,3476,3,2,1,1991
1,1,3477,3,2,1,1990
23,1,3477,3,2,1,1991
18,1,3477,3,2,1,1992
3,1,3477,3,2,1,1992
4,1,3478,3,1,0,1992
14,1,3479,3,1,0,1989
7,1,3480,3,2,0,1989
4,1,3480,3,2,0,1991
2,1,3481,3,2,1,1991
1,1,3481,3,2,1,1992
12,1,3482,3,1,1,1990
3,1,3482,3,1,1,1991
19,1,3482,3,1,1,1991
6,1,3482,3,1,1,1992
8,1,3482,3,1,1,1992
16,1,3483,3,1,1,1989
18,1,3483,3,1,1,1990
19,1,3483,3,1,1,1991
10,1,3483,3,1,1,1992
15,1,3484,3,1,0,1989
19,1,3484,3,1,0,1990
17,1,3484,3,1,0,1991
17,1,3484,3,1,0,1992
6,1,3485,3,2,1,1989
5,1,3485,3,2,1,1991
15,1,3485,3,2,1,1991
1,1,3485,3,2,1,1993
13,1,3486,3,2,1,1991
10,1,3489,3,1,1,1989
38,1,3489,3,1,1,1989
8,1,3489,3,1,1,1990
3,1,3489,3,1,1,1991
2,1,3489,3,1,1,1993
83,1,3491,3,2,0,1991
3,1,3494,3,1,0,1989
2,1,3494,3,1,0,1989
3,1,3494,3,1,0,1990
3,1,3494,3,1,0,1990
3,1,3494,3,1,1,1991
3,1,3494,3,1,1,1991
3,1,3494,3,1,1,1991
3,1,3494,3,1,1,1991
2,1,3494,3,1,1,1991
2,1,3494,3,1,1,1992
12,1,3494,3,1,1,1992
3,1,3494,3,1,1,1992
3,1,3494,3,1,1,1993
3,1,3494,3,1,1,1993
2,1,3496,3,2,1,1990
3,1,3496,3,2,1,1990
4,1,3497,3,1,1,1991
21,0,3501,3,2,0,1993
10,1,3506,3,2,1,1990
11,1,3506,3,2,1,1991
30,0,3506,3,2,1,1993
16,1,3516,3,1,0,1990
2,1,3518,3,2,0,1990
114,0,3519,3,2,0,1991
26,1,3522,3,2,0,1990
1,1,3522,3,2,0,1993
6,1,3522,3,2,0,1993
14,1,3525,3,1,1,1990
15,1,3525,3,1,1,1992
6,1,3528,3,1,1,1992
4,1,3530,3,1,1,1993
73,0,3532,3,2,0,1992
10,1,3536,1,2,1,1989
4,1,3536,1,2,1,1989
26,1,3536,1,2,1,1993
16,1,3538,2,1,0,1992
15,1,3538,2,1,0,1992
1,1,3539,2,1,0,1989
5,1,3539,2,1,0,1989
2,1,3539,2,1,0,1990
3,1,3539,2,1,0,1991
1,1,3539,2,1,0,1991
2,1,3539,2,1,0,1992
1,1,3539,2,1,0,1992
14,1,3539,2,1,0,1993
18,1,3540,2,1,0,1990
1,1,3540,2,1,0,1991
1,1,3540,2,1,0,1991
29,1,3540,2,1,0,1991
32,1,3540,2,1,0,1992
3,1,3541,2,1,0,1989
99,1,3541,2,1,0,1989
19,1,3541,2,1,0,1992
44,1,3542,2,2,0,1989
139,1,3543,2,2,0,1989
44,1,3543,2,2,0,1992
30,0,3543,2,2,0,1993
89,1,3544,2,2,0,1989
45,1,3544,2,2,0,1991
54,0,3544,2,2,0,1992
